,Gender,EthnicGroup,ParentEduc,LunchType,NumberofSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
7202,M,group B,associate's degree,free/reduced,2,school_bus,5 - 10,53,52,52
7203,M,group C,master's degree,standard,2,school_bus,5 - 10,68,61,64
7204,M,group D,some high school,free/reduced,1,private,5 - 10,60,75,68
7205,M,group C,high school,standard,3,school_bus,5 - 10,63,62,58
7206,M,group D,high school,standard,3,school_bus,5 - 10,73,75,78
7207,M,group B,high school,standard,2,private,5 - 10,47,33,31
7208,M,group D,some high school,standard,1,school_bus,5 - 10,84,84,90
7209,M,group A,high school,standard,3,school_bus,5 - 10,70,59,57
7210,M,group E,high school,standard,4,private,5 - 10,91,77,72
7211,M,group C,bachelor's degree,free/reduced,4,school_bus,< 5,61,69,66
7212,M,group E,master's degree,standard,5,school_bus,< 5,67,69,70
7213,M,group B,some college,standard,2,school_bus,5 - 10,74,65,61
7214,M,group C,high school,free/reduced,4,private,5 - 10,37,41,28
7215,M,group D,high school,standard,1,private,5 - 10,87,96,94
7216,M,group C,associate's degree,free/reduced,2,school_bus,5 - 10,58,65,69
7217,M,group C,high school,standard,5,school_bus,> 10,58,60,58
7218,M,group C,some high school,standard,2,school_bus,5 - 10,60,81,71
7219,M,group E,associate's degree,standard,3,school_bus,> 10,100,100,100
7220,M,group D,associate's degree,free/reduced,3,private,< 5,36,39,44
7221,M,group B,high school,standard,1,school_bus,5 - 10,71,84,80
7222,M,group B,some college,standard,1,school_bus,> 10,82,89,98
7223,M,group E,master's degree,free/reduced,2,school_bus,5 - 10,78,76,85
7224,M,group D,high school,free/reduced,2,school_bus,5 - 10,47,54,54
7225,M,group C,some high school,free/reduced,1,school_bus,< 5,45,50,47
7226,M,group E,some college,standard,3,private,< 5,58,68,65
7227,M,group B,bachelor's degree,free/reduced,2,private,> 10,51,65,64
7228,M,group C,some college,standard,3,school_bus,5 - 10,57,58,56
7229,M,group B,high school,standard,0,school_bus,< 5,75,68,69
7230,M,group E,some college,standard,1,school_bus,5 - 10,86,83,77
7231,M,group D,some college,free/reduced,2,private,5 - 10,62,60,53
7232,M,group D,associate's degree,free/reduced,3,school_bus,> 10,63,85,74
7233,M,group E,some college,standard,4,school_bus,< 5,97,98,98
7234,M,group B,bachelor's degree,free/reduced,1,private,5 - 10,64,56,56
7235,M,group B,bachelor's degree,free/reduced,3,private,< 5,32,52,53
7236,M,group C,some high school,standard,1,school_bus,< 5,48,58,50
7237,M,group B,bachelor's degree,standard,2,school_bus,< 5,84,81,83
7238,M,group C,some high school,standard,7,school_bus,> 10,74,71,68
7239,M,group C,associate's degree,free/reduced,0,private,< 5,53,57,52
7240,M,group C,some high school,standard,3,school_bus,< 5,89,94,84
7241,M,group E,some college,free/reduced,3,school_bus,> 10,72,58,56
7242,M,group B,associate's degree,free/reduced,1,school_bus,> 10,59,76,73
7243,M,group E,associate's degree,free/reduced,3,school_bus,> 10,86,93,93
7244,M,group E,bachelor's degree,standard,1,private,> 10,85,74,80
7245,M,group C,associate's degree,standard,5,private,5 - 10,67,75,74
7246,M,group C,associate's degree,free/reduced,5,private,5 - 10,53,51,49
7247,M,group A,some high school,standard,1,private,5 - 10,62,60,48
7248,M,group C,some high school,free/reduced,2,private,> 10,55,53,46
7249,M,group C,some high school,free/reduced,2,school_bus,> 10,54,62,62
7250,M,group E,associate's degree,standard,4,private,5 - 10,92,82,84
7251,M,group E,some high school,standard,3,school_bus,5 - 10,97,82,92
7252,M,group B,bachelor's degree,standard,1,school_bus,> 10,96,90,95
7253,M,group D,some high school,free/reduced,3,private,5 - 10,61,64,63
7254,M,group B,some college,free/reduced,2,school_bus,< 5,55,70,64
7255,M,group E,bachelor's degree,free/reduced,1,private,5 - 10,64,66,69
7256,M,group D,high school,standard,2,private,5 - 10,69,66,65
7257,M,group D,high school,standard,3,school_bus,5 - 10,73,65,61
7258,M,group D,some college,free/reduced,5,private,< 5,41,53,46
7259,M,group B,bachelor's degree,standard,1,private,5 - 10,71,65,73
7260,M,group D,some high school,standard,1,school_bus,< 5,40,58,60
7261,M,group C,associate's degree,standard,4,school_bus,> 10,95,94,90
7262,M,group A,bachelor's degree,free/reduced,2,private,5 - 10,66,64,65
7263,M,group B,high school,standard,4,private,5 - 10,73,83,83
7264,M,group C,some high school,standard,1,private,> 10,68,71,67
7265,M,group C,some college,standard,3,private,< 5,53,41,39
7266,M,group E,high school,free/reduced,6,school_bus,5 - 10,70,87,85
7267,M,group E,some college,free/reduced,1,private,5 - 10,100,90,86
7268,M,group C,associate's degree,free/reduced,0,school_bus,5 - 10,75,72,72
7269,M,group A,associate's degree,standard,4,private,5 - 10,79,83,85
7270,M,group C,some high school,standard,3,school_bus,5 - 10,55,61,68
7271,M,group C,some college,standard,2,school_bus,> 10,62,73,75
7272,M,group E,some college,free/reduced,1,private,5 - 10,52,43,46
7273,M,group D,some college,standard,3,private,5 - 10,93,93,88
7274,M,group C,bachelor's degree,standard,2,school_bus,5 - 10,67,58,56
7275,M,group C,master's degree,free/reduced,0,school_bus,5 - 10,70,94,95
7276,M,group E,high school,standard,1,school_bus,< 5,49,50,49
7277,M,group B,high school,standard,4,school_bus,> 10,77,70,68
7278,M,group D,associate's degree,free/reduced,0,private,5 - 10,56,59,65
7279,M,group D,associate's degree,standard,1,school_bus,< 5,56,75,74
7280,M,group E,some high school,standard,0,school_bus,5 - 10,87,74,80
7281,M,group D,some college,standard,0,school_bus,5 - 10,86,78,77
7282,M,group C,high school,standard,3,school_bus,5 - 10,62,76,72
7283,M,group E,associate's degree,free/reduced,3,school_bus,< 5,48,59,53
7284,M,group A,some high school,standard,1,school_bus,< 5,65,68,66
7285,M,group B,some high school,free/reduced,4,private,5 - 10,27,34,36
7286,M,group C,some college,free/reduced,3,private,> 10,31,38,33
7287,M,group B,bachelor's degree,free/reduced,3,school_bus,< 5,49,52,59
7288,M,group D,some high school,standard,2,school_bus,5 - 10,48,65,66
7289,M,group C,master's degree,free/reduced,1,private,5 - 10,65,67,64
7290,M,group B,high school,standard,2,private,5 - 10,85,71,73
7291,M,group B,associate's degree,standard,2,private,< 5,48,54,54
7292,M,group D,high school,standard,1,private,5 - 10,79,100,98
7293,M,group B,associate's degree,standard,4,school_bus,> 10,82,62,64
7294,M,group D,some high school,standard,0,school_bus,> 10,74,66,64
7295,M,group D,some college,standard,2,private,5 - 10,84,99,93
7296,M,group B,high school,free/reduced,1,private,< 5,53,71,66
7297,M,group D,associate's degree,standard,3,private,< 5,59,50,61
7298,M,group C,high school,standard,3,private,< 5,70,59,57
7299,M,group D,some college,standard,3,school_bus,5 - 10,75,71,67
7300,M,group B,high school,standard,3,private,5 - 10,64,69,56
7301,M,group C,high school,standard,2,private,5 - 10,63,61,60
7302,M,group C,high school,free/reduced,1,school_bus,< 5,46,61,53
7303,M,group C,high school,standard,3,school_bus,< 5,87,68,75
7304,M,group C,high school,free/reduced,2,school_bus,< 5,42,59,49
7305,M,group D,some college,standard,1,private,< 5,53,52,54
7306,M,group C,some college,standard,2,school_bus,> 10,77,79,83
7307,M,group C,master's degree,standard,4,private,5 - 10,80,75,71
7308,M,group D,high school,free/reduced,1,school_bus,5 - 10,65,81,79
7309,M,group D,some high school,free/reduced,2,private,< 5,60,60,56
7310,M,group B,some college,standard,3,private,5 - 10,54,56,55
7311,M,group E,some high school,standard,3,private,< 5,67,61,64
7312,M,group D,high school,standard,2,school_bus,5 - 10,67,60,56
7313,M,group C,high school,standard,3,private,5 - 10,82,83,76
7314,M,group D,some college,standard,0,private,< 5,69,62,67
7315,M,group E,high school,standard,2,school_bus,5 - 10,86,81,78
7316,M,group D,master's degree,standard,4,school_bus,< 5,79,99,98
7317,M,group C,some high school,standard,1,private,5 - 10,73,74,69
7318,M,group D,some high school,free/reduced,0,private,5 - 10,64,53,42
7319,M,group B,high school,free/reduced,3,school_bus,5 - 10,49,65,60
7320,M,group B,some high school,free/reduced,3,private,> 10,67,78,78
7321,M,group C,some high school,free/reduced,2,school_bus,< 5,42,47,44
7322,M,group D,bachelor's degree,free/reduced,0,private,5 - 10,77,77,72
7323,M,group E,some college,standard,0,school_bus,5 - 10,97,87,89
7324,M,group D,associate's degree,standard,5,private,< 5,72,90,83
7325,M,group C,bachelor's degree,standard,0,school_bus,5 - 10,78,64,59
7326,M,group B,some college,standard,3,school_bus,5 - 10,71,73,76
7327,M,group C,some college,standard,4,school_bus,< 5,36,49,47
7328,M,group A,some high school,free/reduced,3,private,5 - 10,52,45,38
7329,M,group E,some high school,standard,1,school_bus,< 5,69,62,63
7330,M,group B,some college,standard,3,private,5 - 10,51,56,61
7331,M,group C,high school,free/reduced,1,school_bus,< 5,52,58,62
7332,M,group C,some high school,standard,3,private,< 5,61,73,72
7333,M,group B,some high school,free/reduced,0,school_bus,5 - 10,45,51,43
7334,M,group E,high school,standard,3,school_bus,5 - 10,83,81,68
7335,M,group D,some high school,standard,4,school_bus,< 5,45,35,40
7336,M,group C,bachelor's degree,standard,1,school_bus,5 - 10,73,82,87
7337,M,group B,some high school,standard,2,school_bus,5 - 10,65,74,67
7338,M,group B,master's degree,standard,0,school_bus,5 - 10,47,45,50
7339,M,group B,some college,standard,3,private,5 - 10,44,58,54
7340,M,group C,some high school,standard,1,school_bus,> 10,64,54,58
7341,M,group E,associate's degree,standard,3,private,5 - 10,51,55,50
7342,M,group D,high school,free/reduced,2,school_bus,> 10,57,72,73
7343,M,group D,high school,free/reduced,3,school_bus,< 5,74,77,74
7344,M,group D,some college,standard,2,private,5 - 10,79,76,81
7345,M,group E,associate's degree,standard,5,school_bus,< 5,77,77,79
7346,M,group A,bachelor's degree,free/reduced,2,school_bus,5 - 10,60,60,54
7347,M,group B,some college,standard,2,school_bus,> 10,82,76,74
7348,M,group B,some college,free/reduced,1,private,< 5,70,70,77
7349,M,group D,high school,standard,1,school_bus,5 - 10,54,54,49
7350,M,group C,high school,standard,4,school_bus,> 10,51,49,45
7351,M,group D,bachelor's degree,standard,1,school_bus,5 - 10,72,83,90
7352,M,group C,high school,standard,1,private,< 5,62,62,60
7353,M,group D,some college,standard,5,school_bus,5 - 10,62,50,50
7354,M,group C,high school,standard,3,school_bus,< 5,78,93,90
7355,M,group B,some college,standard,3,private,5 - 10,61,57,57
7356,M,group C,master's degree,free/reduced,2,private,5 - 10,57,58,60
7357,M,group C,high school,standard,4,school_bus,5 - 10,73,74,71
7358,M,group E,associate's degree,standard,3,school_bus,< 5,73,64,66
7359,M,group D,bachelor's degree,free/reduced,2,private,< 5,89,90,96
7360,M,group B,some high school,standard,1,school_bus,5 - 10,73,69,67
7361,M,group E,some college,standard,3,school_bus,< 5,59,72,74
7362,M,group C,high school,standard,6,private,5 - 10,94,88,85
7363,M,group C,some college,standard,3,school_bus,5 - 10,70,62,58
7364,M,group C,some high school,standard,1,private,5 - 10,82,74,77
7365,M,group B,associate's degree,free/reduced,3,school_bus,5 - 10,48,62,61
7366,M,group B,bachelor's degree,standard,1,private,5 - 10,77,72,68
7367,M,group C,some college,standard,1,school_bus,> 10,59,55,61
7368,M,group C,associate's degree,standard,1,school_bus,> 10,77,71,74
7369,M,group E,associate's degree,free/reduced,6,school_bus,5 - 10,65,74,73
7370,M,group C,some high school,free/reduced,2,school_bus,< 5,64,82,79
7371,M,group E,master's degree,standard,1,private,> 10,88,85,88
7372,M,group C,some high school,standard,3,private,< 5,61,68,67
7373,M,group B,high school,standard,1,private,5 - 10,80,81,71
7374,M,group B,master's degree,standard,1,private,5 - 10,60,61,67
7375,M,group E,bachelor's degree,standard,2,school_bus,> 10,100,80,88
7376,M,group B,some college,standard,4,private,5 - 10,78,92,89
7377,M,group D,associate's degree,free/reduced,3,school_bus,< 5,56,74,73
7378,M,group C,master's degree,standard,2,school_bus,< 5,66,78,79
7379,M,group B,some high school,standard,1,school_bus,5 - 10,62,64,67
7380,M,group C,master's degree,standard,0,school_bus,5 - 10,79,87,89
7381,M,group D,bachelor's degree,free/reduced,3,school_bus,< 5,36,60,57
7382,M,group D,high school,standard,4,school_bus,< 5,73,61,63
7383,M,group D,some high school,standard,3,private,> 10,89,88,97
7384,M,group B,associate's degree,standard,1,school_bus,< 5,92,91,89
7385,M,group E,master's degree,standard,1,private,> 10,72,70,63
7386,M,group B,high school,standard,2,school_bus,< 5,57,58,49
7387,M,group E,associate's degree,free/reduced,3,private,> 10,76,79,80
7388,M,group C,bachelor's degree,standard,4,school_bus,5 - 10,82,91,89
7389,M,group C,some high school,standard,4,private,< 5,61,77,73
7390,M,group C,bachelor's degree,standard,3,school_bus,5 - 10,88,96,99
7391,M,group E,associate's degree,free/reduced,0,private,5 - 10,86,86,80
7392,M,group C,high school,free/reduced,3,private,> 10,88,86,84
7393,M,group C,some high school,standard,0,school_bus,5 - 10,69,61,62
7394,M,group B,high school,standard,1,school_bus,< 5,60,65,63
7395,M,group C,master's degree,standard,1,school_bus,5 - 10,57,67,71
7396,M,group D,some high school,standard,3,private,5 - 10,57,51,59
7397,M,group D,bachelor's degree,standard,1,school_bus,< 5,75,88,88
7398,M,group C,high school,standard,2,private,> 10,66,56,58
7399,M,group C,some high school,standard,1,school_bus,> 10,57,58,56
7400,M,group D,high school,free/reduced,2,private,< 5,50,55,51
7401,M,group B,some high school,standard,3,private,5 - 10,77,61,69
7402,M,group C,bachelor's degree,standard,2,school_bus,5 - 10,45,54,52
7403,M,group B,some college,free/reduced,6,private,5 - 10,60,78,75
7404,M,group B,bachelor's degree,standard,2,school_bus,< 5,66,80,84
7405,M,group E,some college,free/reduced,2,private,5 - 10,86,92,90
7406,M,group B,high school,free/reduced,3,school_bus,5 - 10,18,20,21
7407,M,group C,some college,free/reduced,1,school_bus,< 5,46,49,45
7408,M,group C,some high school,standard,1,school_bus,5 - 10,41,32,30
7409,M,group D,some high school,standard,4,private,5 - 10,76,76,73
7410,M,group D,bachelor's degree,standard,2,private,< 5,73,82,88
7411,M,group D,some high school,standard,1,private,< 5,59,76,75
7412,M,group C,some high school,standard,1,private,< 5,78,83,76
7413,M,group B,high school,standard,5,private,5 - 10,72,77,75
7414,M,group D,some college,standard,1,private,< 5,46,47,50
7415,M,group E,high school,standard,4,school_bus,5 - 10,63,55,52
7416,M,group B,some college,free/reduced,1,school_bus,< 5,52,49,49
7417,M,group C,associate's degree,standard,4,private,5 - 10,88,87,83
7418,M,group D,some high school,standard,2,school_bus,< 5,84,78,83
7419,M,group D,some high school,standard,2,private,5 - 10,66,75,77
7420,M,group B,some high school,free/reduced,2,private,> 10,48,65,58
7421,M,group D,master's degree,standard,0,private,< 5,90,81,86
7422,M,group E,some high school,standard,1,school_bus,> 10,89,100,100
7423,M,group D,associate's degree,standard,1,school_bus,5 - 10,97,96,95
7424,M,group D,some high school,standard,1,school_bus,< 5,50,51,53
7425,M,group D,some college,standard,5,private,5 - 10,96,92,92
7426,M,group D,associate's degree,standard,3,school_bus,5 - 10,100,97,99
7427,M,group C,some college,standard,5,school_bus,5 - 10,72,61,49
7428,M,group E,associate's degree,standard,2,school_bus,5 - 10,80,81,78
7429,M,group C,some high school,free/reduced,2,school_bus,5 - 10,52,62,54
7430,M,group C,some high school,free/reduced,4,private,5 - 10,61,66,73
7431,M,group C,some high school,standard,3,private,5 - 10,41,44,42
7432,M,group D,some college,standard,3,private,< 5,43,65,64
7433,M,group B,associate's degree,free/reduced,2,private,5 - 10,71,70,72
7434,M,group D,some college,free/reduced,3,school_bus,5 - 10,51,62,68
7435,M,group C,some college,free/reduced,4,school_bus,> 10,78,75,72
7436,M,group B,some high school,free/reduced,5,school_bus,> 10,38,51,47
7437,M,group B,some high school,standard,2,school_bus,5 - 10,83,86,78
7438,M,group B,master's degree,standard,4,school_bus,> 10,59,54,60
7439,M,group D,bachelor's degree,standard,2,school_bus,< 5,91,99,100
7440,M,group B,some high school,free/reduced,1,private,5 - 10,33,42,38
7441,M,group E,master's degree,standard,2,private,5 - 10,86,81,83
7442,M,group C,some college,standard,2,private,< 5,77,92,92
7443,M,group C,some high school,free/reduced,5,school_bus,5 - 10,44,49,47
7444,M,group D,master's degree,standard,0,school_bus,< 5,60,66,70
7445,M,group A,bachelor's degree,standard,2,school_bus,5 - 10,71,61,66
7446,M,group E,high school,standard,1,school_bus,5 - 10,95,85,80
7447,M,group E,associate's degree,standard,1,school_bus,< 5,77,80,83
7448,M,group B,bachelor's degree,standard,4,school_bus,5 - 10,92,80,86
7449,M,group A,master's degree,free/reduced,5,school_bus,5 - 10,33,42,43
7450,M,group C,master's degree,free/reduced,1,school_bus,> 10,47,50,53
7451,M,group E,high school,standard,3,school_bus,< 5,55,57,58
7452,M,group C,master's degree,free/reduced,3,school_bus,> 10,57,55,49
7453,M,group C,some college,standard,1,school_bus,< 5,66,79,77
7454,M,group D,high school,standard,4,private,5 - 10,42,60,53
7455,M,group B,bachelor's degree,standard,3,school_bus,5 - 10,77,84,78
7456,M,group D,some high school,standard,7,school_bus,< 5,31,34,31
7457,M,group B,some high school,free/reduced,3,school_bus,5 - 10,45,56,59
7458,M,group D,some high school,free/reduced,1,school_bus,5 - 10,50,64,60
7459,M,group E,associate's degree,standard,1,private,5 - 10,99,94,84
7460,M,group E,some college,standard,2,private,> 10,70,72,73
7461,M,group D,master's degree,standard,3,private,> 10,65,82,81
7462,M,group D,associate's degree,standard,3,school_bus,5 - 10,65,64,75
7463,M,group C,some college,standard,2,private,< 5,69,58,45
7464,M,group C,some college,standard,0,private,5 - 10,72,80,75
7465,M,group B,master's degree,standard,0,school_bus,5 - 10,74,84,79
7466,M,group C,some college,standard,1,private,5 - 10,66,75,70
7467,M,group A,high school,free/reduced,3,private,5 - 10,66,67,63
7468,M,group C,associate's degree,free/reduced,3,school_bus,5 - 10,52,47,51
7469,M,group C,associate's degree,standard,3,private,5 - 10,45,53,59
7470,M,group C,some high school,standard,0,school_bus,< 5,59,73,71
7471,M,group C,some college,free/reduced,2,private,< 5,56,67,69
7472,M,group A,bachelor's degree,standard,4,school_bus,5 - 10,43,49,49
7473,M,group E,high school,standard,2,private,5 - 10,80,77,75
7474,M,group D,some high school,standard,2,school_bus,5 - 10,65,74,73
7475,M,group D,some high school,free/reduced,1,school_bus,5 - 10,64,74,78
7476,M,group C,high school,standard,2,school_bus,> 10,59,60,59
7477,M,group D,master's degree,standard,4,private,5 - 10,81,80,76
7478,M,group C,some college,standard,2,school_bus,< 5,72,61,63
7479,M,group D,bachelor's degree,free/reduced,0,school_bus,5 - 10,60,64,66
7480,M,group D,high school,free/reduced,4,school_bus,< 5,67,80,74
7481,M,group C,associate's degree,standard,3,school_bus,< 5,70,83,78
7482,M,group E,some college,free/reduced,5,private,> 10,62,66,62
7483,M,group C,some college,free/reduced,3,school_bus,< 5,68,61,63
7484,M,group B,some college,standard,0,school_bus,5 - 10,53,49,48
7485,M,group B,some college,standard,1,private,> 10,80,74,75
7486,M,group E,some college,standard,5,private,5 - 10,90,98,97
7487,M,group D,associate's degree,free/reduced,2,private,5 - 10,73,72,69
7488,M,group C,some high school,standard,5,school_bus,< 5,76,89,82
7489,M,group D,bachelor's degree,standard,5,private,5 - 10,95,95,96
7490,M,group C,some college,free/reduced,1,private,> 10,55,57,48
7491,M,group D,high school,standard,1,school_bus,5 - 10,64,71,63
7492,M,group B,high school,free/reduced,3,private,5 - 10,57,65,57
7493,M,group D,some college,standard,0,school_bus,5 - 10,63,66,57
7494,M,group E,some high school,standard,3,school_bus,5 - 10,61,68,67
7495,M,group B,some college,standard,2,school_bus,< 5,57,68,72
7496,M,group C,some high school,standard,2,school_bus,< 5,71,84,86
7497,M,group E,bachelor's degree,standard,2,school_bus,< 5,93,84,82
7498,M,group C,some college,free/reduced,3,school_bus,5 - 10,49,53,53
7499,M,group C,master's degree,standard,1,school_bus,< 5,45,52,50
7500,M,group B,bachelor's degree,standard,3,school_bus,< 5,85,99,90
7501,M,group B,associate's degree,standard,2,private,5 - 10,82,94,97
7502,M,group E,associate's degree,standard,2,school_bus,5 - 10,41,39,46
7503,M,group C,bachelor's degree,free/reduced,1,private,> 10,43,56,56
7504,M,group E,high school,standard,2,private,5 - 10,75,66,62
7505,M,group C,bachelor's degree,standard,2,school_bus,< 5,72,69,78
7506,M,group B,some high school,standard,2,school_bus,5 - 10,85,75,73
7507,M,group B,some college,free/reduced,1,school_bus,5 - 10,62,56,52
7508,M,group C,some college,standard,2,private,5 - 10,26,32,24
7509,M,group B,master's degree,standard,2,school_bus,< 5,79,80,77
7510,M,group D,high school,free/reduced,2,school_bus,> 10,83,77,73
7511,M,group C,high school,free/reduced,2,private,< 5,24,44,37
7512,M,group C,bachelor's degree,standard,1,private,< 5,69,65,70
7513,M,group D,master's degree,standard,0,school_bus,> 10,91,74,79
7514,M,group C,some college,standard,2,private,5 - 10,65,64,68
7515,M,group D,some college,standard,2,private,5 - 10,71,86,85
7516,M,group C,associate's degree,free/reduced,2,private,< 5,56,66,67
7517,M,group D,associate's degree,free/reduced,0,private,< 5,57,64,71
7518,M,group C,high school,free/reduced,1,private,> 10,62,59,52
7519,M,group B,high school,standard,0,school_bus,> 10,63,71,64
7520,M,group B,some high school,standard,2,private,< 5,72,68,60
7521,M,group C,some high school,standard,3,private,5 - 10,83,99,87
7522,M,group C,associate's degree,standard,6,private,> 10,67,77,80
7523,M,group B,some college,standard,5,private,< 5,75,67,65
7524,M,group B,associate's degree,standard,3,school_bus,< 5,55,63,54
7525,M,group A,bachelor's degree,standard,2,school_bus,5 - 10,69,77,84
7526,M,group A,associate's degree,standard,1,private,5 - 10,55,55,47
7527,M,group D,some high school,standard,1,school_bus,> 10,47,74,69
7528,M,group C,some high school,free/reduced,1,school_bus,5 - 10,49,42,35
7529,M,group C,bachelor's degree,free/reduced,3,private,> 10,57,71,70
7530,M,group C,associate's degree,standard,6,private,5 - 10,92,98,92
7531,M,group A,some college,free/reduced,1,school_bus,5 - 10,43,60,54
7532,M,group A,associate's degree,standard,1,school_bus,5 - 10,84,89,84
7533,M,group D,some college,standard,2,school_bus,5 - 10,62,50,57
7534,M,group C,high school,free/reduced,2,school_bus,< 5,37,46,38
7535,M,group C,master's degree,standard,2,school_bus,> 10,85,85,79
7536,M,group D,bachelor's degree,free/reduced,1,private,5 - 10,78,82,82
7537,M,group B,bachelor's degree,standard,3,private,< 5,55,55,52
7538,M,group E,some high school,standard,2,school_bus,5 - 10,96,91,94
7539,M,group D,associate's degree,standard,3,private,5 - 10,71,67,69
7540,M,group A,high school,standard,2,school_bus,5 - 10,75,70,68
7541,M,group B,some high school,standard,1,school_bus,> 10,45,48,42
7542,M,group C,bachelor's degree,standard,1,school_bus,5 - 10,83,76,77
7543,M,group A,some high school,free/reduced,1,school_bus,5 - 10,56,70,66
7544,M,group B,high school,standard,0,private,5 - 10,35,38,36
7545,M,group D,high school,standard,1,school_bus,5 - 10,65,56,56
7546,M,group A,bachelor's degree,free/reduced,1,private,5 - 10,59,61,55
7547,M,group C,some high school,standard,0,private,5 - 10,64,57,54
7548,M,group E,associate's degree,standard,2,school_bus,5 - 10,88,96,96
7549,M,group A,some high school,standard,4,school_bus,5 - 10,60,76,69
7550,M,group D,bachelor's degree,standard,3,school_bus,< 5,78,89,80
7551,M,group B,bachelor's degree,standard,5,school_bus,< 5,93,97,99
7552,M,group A,bachelor's degree,standard,1,private,5 - 10,65,62,67
7553,M,group C,some college,standard,1,private,> 10,77,75,73
7554,M,group C,associate's degree,free/reduced,1,school_bus,5 - 10,80,79,85
7555,M,group B,some college,standard,2,school_bus,> 10,75,59,61
7556,M,group C,some high school,free/reduced,2,private,5 - 10,59,69,72
7557,M,group A,master's degree,standard,1,school_bus,< 5,69,76,78
7558,M,group D,master's degree,standard,2,school_bus,5 - 10,58,77,74
7559,M,group A,high school,standard,2,school_bus,< 5,54,59,57
7560,M,group D,high school,free/reduced,4,school_bus,< 5,69,58,62
7561,M,group B,master's degree,free/reduced,1,school_bus,< 5,58,63,63
7562,M,group B,high school,free/reduced,5,school_bus,< 5,58,66,64
7563,M,group B,master's degree,free/reduced,2,school_bus,< 5,50,67,66
7564,M,group C,some high school,standard,2,private,> 10,74,76,75
7565,M,group D,master's degree,standard,1,school_bus,5 - 10,74,89,92
7566,M,group E,some college,free/reduced,2,private,> 10,67,64,61
7567,M,group E,bachelor's degree,standard,4,school_bus,> 10,79,64,68
7568,M,group D,some high school,free/reduced,3,school_bus,5 - 10,79,71,67
7569,M,group C,some college,free/reduced,2,school_bus,5 - 10,55,76,71
7570,M,group B,some high school,standard,3,school_bus,> 10,62,80,78
7571,M,group B,bachelor's degree,standard,2,school_bus,5 - 10,68,63,63
7572,M,group C,some college,free/reduced,1,private,5 - 10,38,56,58
7573,M,group E,some college,standard,0,private,5 - 10,86,86,83
7574,M,group E,associate's degree,standard,2,private,< 5,62,57,63
7575,M,group E,some college,standard,4,school_bus,5 - 10,76,71,65
7576,M,group D,some high school,free/reduced,2,private,5 - 10,41,49,50
7577,M,group D,associate's degree,free/reduced,2,private,5 - 10,52,62,60
7578,M,group A,bachelor's degree,free/reduced,5,private,< 5,52,76,77
7579,M,group D,high school,standard,2,private,> 10,68,75,77
7580,M,group C,bachelor's degree,standard,5,private,< 5,81,76,80
7581,M,group B,associate's degree,standard,0,school_bus,< 5,92,89,89
7582,M,group C,some high school,free/reduced,3,school_bus,5 - 10,47,44,42
7583,M,group E,high school,standard,2,private,< 5,55,65,67
7584,M,group D,bachelor's degree,standard,1,school_bus,< 5,76,65,72
7585,M,group B,high school,standard,3,school_bus,> 10,53,63,57
7586,M,group B,high school,standard,1,private,< 5,50,51,43
7587,M,group C,some college,standard,3,private,5 - 10,81,89,90
7588,M,group B,some college,standard,3,school_bus,> 10,67,69,77
7589,M,group C,some college,standard,3,school_bus,5 - 10,56,74,70
7590,M,group B,some college,standard,0,school_bus,5 - 10,74,70,69
7591,M,group D,master's degree,free/reduced,4,school_bus,< 5,70,69,74
7592,M,group C,some college,standard,0,school_bus,< 5,58,57,57
7593,M,group D,associate's degree,free/reduced,2,private,5 - 10,79,86,85
7594,M,group C,some high school,free/reduced,4,school_bus,> 10,43,59,49
7595,M,group C,some college,standard,0,school_bus,< 5,74,85,90
7596,M,group D,associate's degree,standard,4,private,> 10,70,74,81
7597,M,group C,high school,standard,0,school_bus,5 - 10,71,84,78
7598,M,group B,some high school,free/reduced,1,school_bus,> 10,48,56,46
7599,M,group C,some high school,standard,1,private,5 - 10,69,76,73
7600,M,group B,bachelor's degree,free/reduced,2,school_bus,< 5,68,74,73
7601,M,group B,some college,standard,1,private,< 5,94,88,87
7602,M,group D,high school,free/reduced,5,school_bus,< 5,80,83,86
7603,M,group C,some high school,free/reduced,3,school_bus,> 10,42,51,52
7604,M,group E,master's degree,standard,3,private,5 - 10,100,90,95
7605,M,group A,bachelor's degree,standard,3,school_bus,5 - 10,83,91,96
7606,M,group B,some college,standard,2,school_bus,5 - 10,59,65,56
7607,M,group C,some college,standard,2,private,5 - 10,48,53,49
7608,M,group B,some high school,standard,1,private,5 - 10,53,52,54
7609,M,group E,high school,standard,2,school_bus,5 - 10,80,63,68
7610,M,group C,master's degree,standard,2,private,< 5,62,63,76
7611,M,group C,some college,standard,3,school_bus,< 5,63,83,76
7612,M,group C,associate's degree,standard,3,private,5 - 10,55,74,70
7613,M,group C,some college,standard,0,school_bus,5 - 10,83,75,79
7614,M,group D,high school,free/reduced,1,private,< 5,49,47,53
7615,M,group D,some high school,free/reduced,5,private,5 - 10,57,69,68
7616,M,group E,master's degree,free/reduced,2,private,5 - 10,56,61,56
7617,M,group E,some college,standard,3,school_bus,5 - 10,94,97,99
7618,M,group E,some college,free/reduced,1,school_bus,5 - 10,71,64,63
7619,M,group B,high school,free/reduced,3,private,5 - 10,48,50,44
7620,M,group B,high school,free/reduced,1,private,< 5,59,51,48
